OBJECTID_1,PIN,ZONE_DISTR,ZONE_TYPE_,DATE,PHOTOGRAPH,VACANT_ABA,GRADE_RUBR,STRUCTURE_,STRUCTURAL,BUILDING_E,BRICK,COMMERCIAL,TWO_STORIE,STONE,PUBLIC_GOV,RESIDENTIA,BARS_ON_WI,BASEMENT_W,SIDING,MULTI_FAMI,ATTACHMENT,SINGLE_FAM,CONCRETE_S,OBSTRUCTED,WOOD,REVIEWED,NEIGHBORHO,COUNCIL_DI,CENSUS_TRA,LANDBANK,HHF,ADDRESS,RESIDENT_1,PARKING_LO,DUMPING_ON
1817,45-08-14-276-024.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2335 MARSHALLTOWN LANE,Yes,,
1818,45-08-14-233-010.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2313 MARSHALLTOWN LANE,Yes,,
1819,45-08-14-229-016.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2706 EAST 21ST PLACE,Yes,,
1820,45-08-14-101-027.000-004,R2,RESIDENTIAL,2013/12/07,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,,,1921 EAST 21ST AVENUE,,No Parking Lot Present,
1821,45-08-11-379-039.000-004,R3,RESIDENTIAL,2013/07/27,,Occupied Structure,Dangerous,Structure Present,Significant Structural Damage,Building Enclosed/Secure,,,,,,Yes,,,,,,Yes,Yes,,Yes,,Pulaski,Fourth District,Census Tract 114,,,2140 EAST 20TH AVENUE,Yes,,
1822,45-08-12-427-003.000-004,M1-1,MANUFACTURING,2014/08/07,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,1631-18 BENTON STREET,,No Parking Lot Present,
1823,45-08-12-101-003.000-004,M1-2,MANUFACTURING,2013/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 115,,,1001 DAKOTA STREET APPR,,,
1824,45-09-06-451-013.000-004,B3-1,BUSINESS,2013/07/07,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 102.01,,,5839-41 EAST DUNES HIGHWAY,,,
1825,45-09-06-379-037.000-004,R2,RESIDENTIAL,2013/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 102.01,,,884-86 FAYETTE STREET,,,
1826,45-09-06-376-014.000-004,B5-1,BUSINESS,2013/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 102.01,,,5333-35 EAST DUNES HIGHWAY,,,
1827,45-08-14-202-031.000-004,R2,RESIDENTIAL,2013/07/08,,Vacant/Abandoned Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2624 CENTRAL DRIVE,Yes,,
1828,45-08-11-381-012.000-004,R3,RESIDENTIAL,2013/05/18,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,,,2366 CENTRAL DRIVE,,,
1829,45-08-12-277-014.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,Yes,,,,Yes,,,Yes,,Aetna,First District,Census Tract 115,,,4636 EAST 13TH PLACE,Yes,,
1830,45-08-12-176-026.000-004,R2,RESIDENTIAL,2013/05/04,,Vacant/Abandoned Structure,Fair,Structure Present,,,,,Yes,,,Yes,,,Yes,,,Yes,Yes,,Yes,,Aetna,First District,Census Tract 115,,,3542-36 OAKDALE DRIVE,Yes,,
1831,45-08-12-152-023.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Aetna,First District,Census Tract 115,,,1214-18 MONTANA STREET,Yes,,
1832,45-08-14-202-015.000-004,R2,RESIDENTIAL,2013/07/07,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,,,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2625 EAST 21ST AVENUE,Yes,,
1833,45-05-32-380-008.000-004,R1,RESIDENTIAL,2014/07/08,,Occupied Structure,Good,Structure Present,,,Yes,,Yes,,,Yes,,Yes,,,,Yes,,,Yes,,Miller,First District,Census Tract 101,,,6909 EAST 1ST AVENUE,Yes,,
1834,45-05-32-378-019.000-004,R1,RESIDENTIAL,2014/07/09,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,Yes,Yes,,,Yes,Yes,,,,Miller,First District,Census Tract 101,,,166 NORTH MONTGOMERY,Yes,,
1835,45-09-06-254-011.000-004,R2,RESIDENTIAL,2013/11/02,,Vacant/Abandoned Structure,Good,Structure Present,,,,,,,,Yes,,Yes,Yes,,,Yes,,,,,Miller,First District,Census Tract 102.01,,,380 SOUTH HAMILTON STREET,Yes,,
1836,45-09-06-303-040.000-004,R2,RESIDENTIAL,2013/05/22,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,5034-36 EAST MILLER AVENUE,,,
1837,45-05-33-452-022.000-004,R1,RESIDENTIAL,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,8945-47 EAST DUNES HIGHWAY,,No Parking Lot Present,
1838,45-09-04-126-007.000-004,R1,RESIDENTIAL,2014/10/23,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,8427 EAST DUNES HIGHWAY,,No Parking Lot Present,
1839,45-08-14-101-018.000-004,R2,RESIDENTIAL,2013/07/27,,Vacant/Abandoned Structure,Poor,Structure Present,No,Building Enclosed/Secure,,Yes,,Yes,,,,,,,,,,Yes,,,Pulaski,Fourth District,Census Tract 114,,,1849 EAST 21ST AVENUE,,,
1840,45-08-14-101-010.000-004,R2,RESIDENTIAL,2013/07/27,,Occupied Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,,,,,Yes,,,,,Pulaski,Fourth District,Census Tract 114,,,1737 EAST 21ST AVENUE,Yes,,
1841,45-05-33-177-013.000-004,R1,RESIDENTIAL,2014/07/22,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 101,,,8614-26 INDIAN BOUNDARY,,No Parking Lot Present,
1842,45-08-13-226-001.000-017,M1-1,MANUFACTURING,2014/08/07,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2000 EAST STATE STREET,,No Parking Lot Present,
1843,45-08-12-178-006.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Excellent,Structure Present,,,Yes,,,,,Yes,,Yes,Yes,,Yes,Yes,,,,,Aetna,First District,Census Tract 115,,,3609 EAST 13TH AVENUE,Yes,,
1844,45-08-12-229-013.000-004,R2,RESIDENTIAL,2013/05/18,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Aetna,First District,Census Tract 115,,,1135 CASS STREET,Yes,,
1845,45-08-11-380-039.000-004,R3,RESIDENTIAL,2013/07/27,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,,,,,Pulaski,Fourth District,Census Tract 114,,,2232 EAST 21ST AVENUE,Yes,,
1846,45-08-11-351-011.000-004,R3,RESIDENTIAL,2013/05/18,http://locald.s3.amazonaws.com/upload-beta/8a340df0-87af-11e2-9485-c3fff44e7c8e/2013-5-18-1927-e-19th-ave.jpg,Vacant/Abandoned Structure,Poor,Structure Present,No,Building Enclosed/Secure,,,,,,Yes,,,Yes,,,Yes,,,,,Pulaski,Fourth District,Census Tract 114,,,1927 EAST 19TH AVENUE,Yes,,
1847,45-05-32-331-003.000-004,R1,RESIDENTIAL,2014/07/09,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,,,Yes,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,335 MIAMI STREET,Yes,,
1848,45-09-05-378-004.000-004,B5-1,BUSINESS,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,755 MARION STREET,,No Parking Lot Present,
1849,45-05-32-202-015.000-004,R2,RESIDENTIAL,2014/07/10,,Occupied Structure,Good,Structure Present,,,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,7524 OAK AVENUE,Yes,,
1850,45-05-31-459-007.000-004,R2,RESIDENTIAL,2014/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,147 NORTH LAKE STREET,,No Parking Lot Present,
1851,45-05-33-478-025.000-004,R1,RESIDENTIAL,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,9300-08 NORTHEAST CREST DRIVE,,No Parking Lot Present,
1852,45-05-33-156-029.000-004,R1A,RESIDENTIAL,2014/07/10,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 101,City of Gary,,8212 FOREST AVENUE,,No Parking Lot Present,
1853,45-05-33-109-015.000-004,B1-1,BUSINESS,2014/07/10,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 101,,,920-40 SHELBY STREET,,No Parking Lot Present,
1854,45-09-04-129-030.000-004,R1,RESIDENTIAL,2014/10/23,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,166 SOUTH UNION STREET,,No Parking Lot Present,
1855,45-05-33-236-044.000-004,R2,RESIDENTIAL,2014/07/22,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 101,,,806-18 WAYNE STREET,,No Parking Lot Present,
1856,45-05-33-480-021.000-004,R1,RESIDENTIAL,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,9500 EAST 1ST AVENUE,,No Parking Lot Present,
1857,45-05-33-107-011.000-004,R1,RESIDENTIAL,2014/07/11,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,,,,,Miller,First District,Census Tract 101,,,8133 MAPLE AVENUE,Yes,,
1858,45-05-33-479-007.000-004,R1,RESIDENTIAL,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,9201-05 OAK RIDGE DRIVE,,No Parking Lot Present,
1859,45-05-32-453-011.000-004,R1A,RESIDENTIAL,2014/07/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 101,,,7431 EAST 1ST AVENUE,,No Parking Lot Present,
1860,45-05-32-453-010.000-004,R1A,RESIDENTIAL,2014/07/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 101,,,7421 EAST 1ST AVENUE,,No Parking Lot Present,
1861,45-08-14-301-020.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1728-30 EAST 25TH PLACE,,No Parking Lot Present,
1862,45-08-13-281-017.000-017,R3,RESIDENTIAL,2014/11/28,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2460 BENTON STREET,,No Parking Lot Present,
1863,45-08-13-255-020.000-017,R3,RESIDENTIAL,2014/12/18,,Vacant/Abandoned Structure,Poor,Structure Present,No,Building Not Enclosed/Secure,,,Yes,,,Yes,,,Yes,,,Yes,,,,,,Fourth District,Census Tract 115,,,2472 STATE STREET,Yes,,
1864,45-08-13-280-009.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2461 STATE STREET,,No Parking Lot Present,
1865,45-09-06-376-008.000-004,B5-1,BUSINESS,2013/07/08,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Aetna,First District,Census Tract 102.01,Department of Redevelopment,,5305-07 EAST DUNES HIGHWAY,,,
1866,45-09-04-180-019.000-004,R1,RESIDENTIAL,2014/06/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,442-46 SPENCER STREET APPR,,No Parking Lot Present,
1867,45-08-13-279-024.000-017,R3,RESIDENTIAL,2014/12/18,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,,,,,,Fourth District,Census Tract 115,,,2372 CLAY STREET,Yes,,
1868,45-08-13-276-013.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2320 ALLEN STREET,,No Parking Lot Present,
1869,45-05-32-353-021.000-004,R1,RESIDENTIAL,2014/07/09,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,,,,Yes,Yes,,,,,Miller,First District,Census Tract 101,,,6648 ASH AVENUE,Yes,,
1870,45-08-13-277-016.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2342 BENTON STREET,,No Parking Lot Present,
1871,45-08-14-232-018.000-004,R2,RESIDENTIAL,2013/06/01,,Vacant/Abandoned Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2324 MARSHALLTOWN LANE,Yes,,
1872,45-08-14-126-012.000-004,R2,RESIDENTIAL,2013/07/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,City of Gary,,2249 EAST 21ST AVENUE,,,
1873,45-08-14-205-021.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2231 WISCONSIN STREET,Yes,,
1874,45-08-14-228-008.000-004,R2,RESIDENTIAL,2013/09/24,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2801 CENTRAL AVENUE,Yes,,
1875,45-08-14-228-006.000-004,R2,RESIDENTIAL,2013/09/24,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2749 CENTRAL AVENUE,Yes,,
1876,45-09-07-176-030.000-004,R3,RESIDENTIAL,2013/03/08,,Occupied Structure,Good,Structure Present,,,,,,,,,,,,Yes,,,,,Yes,,Aetna,First District,Census Tract 115,,,1314 FAYETTE STREET,Yes,,
1877,45-09-05-327-011.000-004,R2,RESIDENTIAL,2014/07/24,,Vacant/Abandoned Structure,Fair,Structure Present,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,,,,Miller,First District,Census Tract 102.01,,,7141 EAST 5TH AVENUE,Yes,,
1878,45-08-11-380-009.000-004,R3,RESIDENTIAL,2013/07/27,,Vacant/Abandoned Structure,Dangerous,Structure Present,No,Building Not Enclosed/Secure,,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2141 EAST 20TH AVENUE,Yes,,
1879,45-09-06-402-001.000-004,R2,RESIDENTIAL,2013/11/05,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,Yes,,,,Yes,,,Yes,,Miller,First District,Census Tract 102.01,,,5603 EAST 5TH PLACE,Yes,,
1880,45-08-12-254-001.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Good,Structure Present,,,Yes,,,,,Yes,,,,,Yes,Yes,,,,,Aetna,First District,Census Tract 115,,,4013 EAST 13TH AVENUE,Yes,,
1881,45-08-12-476-003.000-004,M1-1,MANUFACTURING,2014/08/07,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2040 BENTON STREET,,No Parking Lot Present,
1882,45-08-14-308-017.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2652-54 MAINE STREET,,No Parking Lot Present,
1883,45-08-14-306-052.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2616 MAINE STREET,,No Parking Lot Present,
1884,45-08-13-310-010.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,COLORADO & RIVER PARK,,No Parking Lot Present,
1885,45-08-14-306-054.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2624-26 MAINE STREET,,No Parking Lot Present,
1886,45-05-32-377-005.000-004,R1,RESIDENTIAL,2014/07/09,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Miller,First District,Census Tract 101,,,6933 ASH AVENUE,Yes,,
1887,45-08-14-229-032.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,,,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2908 MARSHALLTOWN DRIVE,Yes,,
1888,45-09-06-276-001.000-004,R3,RESIDENTIAL,2014/07/24,,Occupied Structure,Good,Structure Present,,,,Yes,,,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,Miller,First District,Census Tract 102.01,,,6030 EAST 3RD AVENUE,Yes,,
1889,45-09-04-200-007.000-004,R1,RESIDENTIAL,2014/07/25,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Miller,First District,Census Tract 102.01,,,207 SOUTH UNION STREET,,No Parking Lot Present,
1890,45-08-13-306-002.000-017,R3,RESIDENTIAL,2014/12/18,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,,Fourth District,Census Tract 115,,,3435 EAST 26TH AVENUE,Yes,,
1891,45-08-14-303-017.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2579-81 MISSISSIPPI STREET,,No Parking Lot Present,
1892,45-08-14-303-011.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2555-57 MISSISSIPPI STREET,,No Parking Lot Present,
1893,45-08-13-302-002.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,26TH AVENUE & DAKOTA STREET,,No Parking Lot Present,
1894,45-08-13-308-014.000-017,R3,RESIDENTIAL,2014/12/18,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,,,,,,Fourth District,Census Tract 115,,,3334 EAST 26TH AVENUE,Yes,,
1895,45-08-14-306-006.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1857-59 EAST 25TH PLACE,,No Parking Lot Present,
1896,45-08-14-305-042.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,2550-52 ALABAMA STREET,,No Parking Lot Present,
1897,45-08-14-304-012.000-004,F1,FLOOD PLAN,2013/11/27,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,,,2559-61 ILLINOIS PLACE,,Parking Lot Present,
1898,45-08-14-306-003.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1845-47 EAST 25TH PLACE,,No Parking Lot Present,
1899,45-08-14-302-013.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,Parks Department,,1848-50 EAST 25TH PLACE,,No Parking Lot Present,
1900,45-08-14-176-010.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,,,2301-15 EAST 23RD PLACE,,No Parking Lot Present,
1901,45-08-14-176-006.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,Parks Department,,2112-22 EAST 23RD PLACE,,No Parking Lot Present,
1902,45-08-14-353-023.000-004,F1,FLOOD PLAN,2014/06/05,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,University Park,Fifth District,Census Tract 123,,,2200 EAST 29TH AVENUE APPR,,No Parking Lot Present,
1903,45-08-14-176-012.000-004,F1,FLOOD PLAN,2013/12/09,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fourth District,Census Tract 114,Parks Department,,2329-39 EAST 23RD PLACE,,No Parking Lot Present,
1904,45-08-14-228-030.000-004,R2,RESIDENTIAL,2013/07/07,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2824 CENTRAL DRIVE,Yes,,
1905,45-08-13-283-014.000-017,R3,RESIDENTIAL,2014/12/18,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,City of Gary,,2448 CLAY,,No Parking Lot Present,
1906,45-08-14-326-001.000-004,F1,FLOOD PLAN,2013/11/16,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,Pulaski,Fifth District,Census Tract 114,,,2400 EAST 25TH AVENUE,,No Parking Lot Present,
1907,45-08-12-276-015.000-004,R2,RESIDENTIAL,2013/05/04,,Occupied Structure,Excellent,Structure Present,,,,,,Yes,,Yes,,Yes,,,,Yes,,,,,Aetna,First District,Census Tract 115,,,4430 EAST 13TH PLACE,Yes,,
1908,45-09-07-153-004.000-004,R2,RESIDENTIAL,2013/03/08,,Occupied Structure,Excellent,Structure Present,,,,,,,,,,,Yes,Yes,,,,,,,Aetna,First District,Census Tract 115,,,5011 EAST 13TH PLACE,Yes,,
1909,45-08-13-282-008.000-017,R3,RESIDENTIAL,2014/11/28,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2461 BENTON STREET,,No Parking Lot Present,
1910,45-08-13-276-008.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2361 STATE STREET,,No Parking Lot Present,
1911,45-08-13-255-015.000-017,R3,RESIDENTIAL,2014/11/28,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2436 STATE STREET,,No Parking Lot Present,
1912,45-08-13-282-002.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2427 BENTON STREET,,No Parking Lot Present,
1913,45-08-14-206-020.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2506 EAST 23RD AVENUE,Yes,,
1914,45-08-14-206-035.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2600 MARSHALLTOWN DRIVE,Yes,,
1915,45-08-01-403-006.000-004,R2,RESIDENTIAL,2013/04/20,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,,,,,,Miller,First District,Census Tract 102.01,,,4209 EAST 5TH PLACE,Yes,,
1916,45-09-06-430-008.000-004,R5,RESIDENTIAL,2013/11/02,,Occupied Structure,Excellent,Structure Present,,,,Yes,,,,,,,Yes,,,,Yes,,,,Miller,First District,Census Tract 102.01,,,6039 MILLER AVENUE,,,
1917,45-08-14-206-028.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2570 EAST 23RD AVENUE,Yes,,
1918,45-08-14-205-036.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Excellent,Structure Present,,,,,,,,Yes,,,Yes,,,,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2630 EAST 22ND PLACE,Yes,,
1919,45-08-14-252-024.000-004,R2,RESIDENTIAL,2013/06/01,,Occupied Structure,Good,Structure Present,,,,,,,,Yes,,,Yes,,,Yes,Yes,,,,Pulaski,Fourth District,Census Tract 114,,,2548 MARSHALLTOWN DRIVE,Yes,,
1920,45-08-13-279-005.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2357 CASS STREET,,No Parking Lot Present,
1921,45-08-13-277-004.000-017,R3,RESIDENTIAL,2014/12/17,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fourth District,Census Tract 115,,,2343 ALLEN STREET,,No Parking Lot Present,
1922,45-08-14-400-006.000-004,F1,FLOOD PLAN,2014/11/28,,No Structure Present,No Structure Present,No Structure Present,,,,,,,,,,,,,,,,,,,,Fifth District,Census Tract 123,,,IOWA STREET APPR,,No Parking Lot Present,
1923,45-08-13-308-007.000-017,R3,RESIDENTIAL,2014/12/18,,Occupied Structure,Fair,Structure Present,,,,,,,,Yes,,,Yes,,Yes,Yes,,,,,,Fourth District,Census Tract 115,,,3353 EAST 25TH AVENUE,Yes,,
